regimen_fd,n,n_error_relativo,MAE_W,RMSE_W,Bias_W,R2,Error_relativo_promedio,P_ref_promedio_W,P_NOCT_promedio_W,fd_promedio
baja_fd,1349,1349,20.42431730417046,23.970221144223895,-14.540440010898786,0.9589127660723585,0.029840332341601713,673.9032483320979,659.3628083211992,0.19599289374593656
mixto,1126,1124,7.883303238303844,9.667378972935744,2.5095820232191777,0.9967005042544632,0.030667386745082383,361.51112433392535,364.0207063571446,0.48727374765049436
alta_fd,1740,1215,5.833125159088194,6.541700802634427,5.761382352657265,0.9967192835841583,0.051484727153860516,129.67952183908048,135.44090419173773,0.9369598061758017
