datetime_local,epsilon,fd,hour_cos,hour_sin,month_cos,month_sin,p_noct,p_ref_dc,poa,regimen_fd,relative_error,temperature,wind_speed,epsilon_hat_sin_fd,p_hybrid_sin_fd,epsilon_hat_con_fd,p_hybrid_con_fd
2021-01-01 06:00:00,-5.356323044892505,0.9592694927544336,6.123233995736766e-17,1.0,1.0,0.0,49.2443230448925,43.888,54.999,alta_fd,,13.0,0.0,-6.3119044,42.93241861450309,-6.4070845,42.83723857986564
2021-01-01 07:00:00,-15.62009799169249,0.6595314763188475,-0.25881904510252063,0.9659258262890683,1.0,0.0,192.4050979916925,176.785,223.719,mixto,0.0883564668478235,18.0,0.5,-13.57139,178.83370783971495,-13.775709,178.6293888394708
2021-01-01 08:00:00,-9.430112258392455,0.3900888717441589,-0.4999999999999998,0.8660254037844387,1.0,0.0,379.87911225839247,370.449,460.899,mixto,0.0254558988103421,21.0,0.5,-10.326042,369.5530700830995,-9.89583,369.9832821039735
2021-01-01 09:00:00,-9.143394367519932,0.2819535602065234,-0.7071067811865475,0.7071067811865476,1.0,0.0,556.06939436752,546.926,706.088,baja_fd,0.0167177906472172,24.0,1.0,-10.106761,545.9626333888212,-9.604888,546.4645064051787
2021-01-01 10:00:00,15.220593976007422,0.2011979291277105,-0.8660254037844387,0.49999999999999994,1.0,0.0,687.8484060239925,703.069,907.011,baja_fd,0.0216487911940469,26.2,3.1,14.395209,702.2436153364315,12.661294,700.509700007452
2021-01-01 11:00:00,18.44309436011997,0.1308897028263174,-0.9659258262890682,0.258819045102521,1.0,0.0,772.07790563988,790.521,1041.756,baja_fd,0.0233303028763561,27.0,3.1,17.467537,789.5454425661495,18.445694,790.5235996096065
2021-01-01 12:00:00,-27.702835444032416,0.1324724194175878,-1.0,1.2246467991473532e-16,1.0,0.0,801.5528354440324,773.85,1101.253,baja_fd,0.0357987147948987,29.0,1.0,-24.095638,777.457197168886,-25.277323,776.2755126748674
2021-01-01 13:00:00,31.665719589867532,0.1326073654336765,-0.9659258262890683,-0.2588190451025208,1.0,0.0,785.1882804101325,816.854,1080.577,baja_fd,0.0387654581967738,30.0,4.1,32.5327,817.7209799950934,32.15888,817.3471587365485
2021-01-01 14:00:00,35.40835198508,0.1632696558663179,-0.8660254037844388,-0.4999999999999997,1.0,0.0,731.00964801492,766.418,990.468,baja_fd,0.0461997917390771,29.5,5.1,36.45125,767.4608961838653,36.55879,767.5684363144806
2021-01-01 15:00:00,31.42938883675004,0.1622833557875516,-0.7071067811865479,-0.7071067811865471,1.0,0.0,620.80961116325,652.239,818.77,baja_fd,0.0481869204950179,29.0,6.2,31.49156,652.3011711455498,33.222862,654.0324734069023
